id,year
300094,2013
300094,2014
300094,2015
300094,2016
300094,2017
300094,2018
300094,2019
300094,2020
300094,2021
300095,2011
300095,2012
300095,2013
300095,2014
300095,2015
300095,2016
300095,2017
300095,2018
300095,2019
300095,2020
300095,2021
300096,2011
300096,2012
300096,2013
300096,2014
300096,2015
300096,2016
300096,2017
300096,2018
300096,2019
300096,2020
300096,2021
300097,2011
300097,2012
300097,2013
300097,2014
300097,2015
300097,2016
300097,2017
300097,2018
300097,2019
300097,2020
300097,2021
300098,2011
300098,2012
300098,2013
300098,2014
300098,2015
300098,2016
300098,2017
300098,2018
300098,2019
300098,2020
300098,2021
300099,2011
300099,2012
300099,2013
300099,2014
300099,2015
300099,2016
300099,2017
300099,2018
300099,2019
300099,2020
300099,2021
300100,2011
300100,2012
300100,2013
300100,2014
300100,2015
300100,2016
300100,2017
300100,2018
300100,2019
300100,2020
300100,2021
300101,2011
300101,2012
300101,2013
300101,2014
300101,2015
300101,2016
300101,2017
300101,2018
300101,2019
300101,2020
300101,2021
300102,2011
300102,2012
300102,2013
300102,2014
300102,2015
300102,2016
300102,2017
300102,2018
300102,2019
300102,2020
300102,2021
300103,2011
300103,2012
300103,2013
300103,2014
300103,2015
300103,2016
300103,2017
300103,2018
300103,2019
300103,2020
300103,2021
300105,2011
300105,2012
300105,2013
300105,2014
300105,2015
300105,2016
300105,2017
300105,2018
300105,2019
300105,2020
300105,2021
300106,2011
300106,2012
300106,2013
300106,2014
300106,2015
300106,2016
300106,2017
300106,2018
300106,2019
300106,2020
300106,2021
300107,2011
300107,2012
300107,2013
300107,2014
300107,2015
300107,2016
300107,2017
300107,2018
300107,2019
300107,2020
300107,2021
300109,2011
300109,2012
300109,2013
300109,2014
300109,2015
300109,2016
300109,2017
300109,2018
300109,2019
300109,2020
300109,2021
300110,2011
300110,2012
300110,2013
300110,2014
300110,2015
300110,2016
300110,2017
300110,2018
300110,2019
300110,2020
300110,2021
300111,2011
300111,2012
300111,2013
300111,2014
300111,2015
300111,2016
300111,2017
300111,2018
300111,2019
300111,2020
300111,2021
300112,2011
300112,2012
300112,2013
300112,2014
300112,2015
300112,2016
300112,2017
300112,2018
300112,2019
300112,2020
300112,2021
300113,2011
300113,2012
300113,2013
300113,2014
300113,2015
300113,2016
300113,2017
300113,2018
300113,2019
300113,2020
300113,2021
300114,2011
300114,2012
300114,2013
300114,2014
300114,2015
300114,2016
300114,2017
300114,2018
300114,2019
300114,2020
300114,2021
300115,2011
300115,2012
300115,2013
300115,2014
300115,2015
300115,2016
300115,2017
300115,2018
300115,2019
300115,2020
300115,2021
300116,2011
300116,2012
300116,2013
300116,2014
300116,2015
300116,2016
300116,2017
300116,2018
300116,2019
300116,2020
300116,2021
300117,2011
300117,2012
300117,2013
300117,2014
300117,2015
300117,2016
300117,2017
300117,2018
300117,2019
300117,2020
300117,2021
300118,2011
300118,2012
300118,2013
300118,2014
300118,2015
300118,2016
300118,2017
300118,2018
300118,2019
300118,2020
300118,2021
300119,2011
300119,2012
300119,2013
300119,2014
300119,2015
300119,2016
300119,2017
300119,2018
300119,2019
300119,2020
300119,2021
300120,2011
300120,2012
300120,2013
300120,2014
300120,2015
300120,2016
300120,2017
300120,2018
300120,2019
300120,2020
300120,2021
300121,2011
300121,2012
300121,2013
300121,2014
300121,2015
300121,2016
300121,2017
300121,2018
300121,2019
300121,2020
300121,2021
300122,2011
300122,2012
300122,2013
300122,2014
300122,2015
300122,2016
300122,2017
300122,2018
300122,2019
300122,2020
300122,2021
300123,2011
300123,2012
300123,2013
300123,2014
300123,2015
300123,2016
300123,2017
300123,2018
300123,2019
300123,2020
